"Country","Total_Cases","New_Cases","Total_Deaths","New_Deaths","Total_Recovered","Active_Cases","Serious/Critical","Tot_Cases","Deaths","Total_Tests","Tests","Continents"
"St. Vincent Grenadines","29",""," ","","26","3","","261","","746","6,725","North America"
"Antigua and Barbuda","26","","3 ","","22","1","1","266","31","489","4,994","North America"
"Timor-Leste","24",""," ","","24","0","","18","","1,568","1,190","Asia"
"Curaçao","23","","1 ","","19","3","","140","6","1,080","6,582","North America"
"Grenada","23",""," ","","23","0","","204","","4,130","36,708","North America"
"Belize","22","","2 ","","17","3","","55","5","1,998","5,028","North America"
"New Caledonia","21",""," ","","21","0","","74","","8,049","28,200","Australia/Oceania"
"Laos","19",""," ","","19","0","","3","","12,829","1,764","Asia"
"Saint Lucia","19",""," ","","18","1","","103","","1,584","8,627","North America"
"Dominica","18",""," ","","18","0","","250","","623","8,655","North America"
"Fiji","18",""," ","","18","0","","20","","4,000","4,463","Australia/Oceania"
"Saint Kitts and Nevis","15",""," ","","15","0","","282","","417","7,840","North America"
"Turks and Caicos","14","","1 ","","11","2","","362","26","366","9,457","North America"
"Falkland Islands","13",""," ","","13","0","","3,740","","981","282,221","South America"
"Greenland","13",""," ","","13","0","","229","","2,807","49,447","North America"
"Vatican City","12",""," ","","12","0","","14,981","","","","Europe"
"Lesotho","12","8"," ","","2","10","","6","","2,137","998","Africa"
"Montserrat","11","","1 ","","10","0","","2,204","200","61","12,220","North America"
"Seychelles","11",""," ","","11","0","","112","","","","Africa"
"Western Sahara","10","1","1 ","","8","1","","17","2","","","Africa"
"MS Zaandam","9","","2 ","","","7","","","","","",""
"British Virgin Islands","8","","1 ","","7","0","","265","33","212","7,014","North America"
"Papua New Guinea","8",""," ","","8","0","","0.9","","5,281","591","Australia/Oceania"
"Caribbean Netherlands","7",""," ","","7","0","","267","","424","16,173","North America"
"St. Barth","6",""," ","","6","0","","608","","152","15,391","North America"
"Anguilla","3",""," ","","3","0","","200","","93","6,200","North America"
"Saint Pierre Miquelon","1",""," ","","1","0","","173","","","","North America"
"China","83396","18","4634 ","","78413","349","10","58","3","","","Asia"
